billingDate,articleNo,articleDescription,profitCenter,generalNamePro,brand,product,site,division,zone,territory,salesTypeDesc,billQty,basePrice
20220101,25143,EcoVision Pro 55,PTV,Panasonic TV,Panasonic,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash and Coupon,1,47110.0
20220101,25410,LG NanoPrecision 55,LTV,LG TV,LG,TV,DAD,Mumbai City,Central Zone,Dadar,Cash Sales,1,50780.0
20220101,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,1,54450.0
20220101,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,54330.0
20220101,37632,TechStream HD 32,TTV,Toshiba TV,Toshiba,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Cash and Coupon,3,69170.0
20220101,47808,LG AirComfort Deluxe 1.5T,LAC,LG AC,LG,AC,BAN,Mumbai Suburban,Western Zone,Bandra,Financed Sales,2,71450.0
20220101,49552,EcoCool BCD 260,PRF,Panasonic Refrigerator,Panasonic,RF,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash Sales,1,35060.0
20220101,50060,EcoChill Mini 198,PRF,Panasonic Refrigerator,Panasonic,RF,AND,Mumbai Suburban,Western Zone,Andheri,Financed Sales,1,26110.0
20220102,24778,EcoCool BCD 290,PRF,Panasonic Refrigerator,Panasonic,RF,BAN,Mumbai Suburban,Western Zone,Bandra,Cash Sales,2,75250.0
20220102,25012,EcoVision HD 32,PTV,Panasonic TV,Panasonic,TV,JUH,Mumbai Suburban,Western Zone,Juhu,Financed Sales,1,19510.0
20220102,25301,HomeScreen Pro 43,STV,Sony TV,Sony,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Cash Sales,1,37120.0
20220102,25354,LG NanoPrecision 43,LTV,LG TV,LG,TV,GHA,Mumbai Suburban,Central Zone,Ghatkopar,Financed Sales,1,33700.0
20220102,25355,HomeScreen Ultra 55,STV,Sony TV,Sony,TV,MAL,Mumbai Suburban,Western Zone,Malad,Cash Sales,1,64480.0
20220102,25467,LG QLED Vision 50,LTV,LG TV,LG,TV,BAN,Mumbai Suburban,Western Zone,Bandra,Financed Sales,1,57800.0
20220102,48010,EcoBreeze Split 1.5T,PAC,Panasonic AC,Panasonic,AC,POW,Mumbai Suburban,Central Zone,Powai,Cash Sales,1,36910.0
