month,city,temperature,humidity
20220101,Mumbai,24.2,57
20220201,Mumbai,24.5,55
20220301,Mumbai,26.4,64
20220401,Mumbai,30.0,68
20220501,Mumbai,30.4,75
20220601,Mumbai,29.8,84
20220701,Mumbai,26.6,88
20220801,Mumbai,26.4,88
20220901,Mumbai,27.5,83
20221001,Mumbai,28.7,68
20221101,Mumbai,29.2,57
20221201,Mumbai,24.7,56
20230101,Mumbai,22.3,55
20230201,Mumbai,25.8,58
20230301,Mumbai,28.0,55
20230401,Mumbai,30.4,69
20230501,Mumbai,30.1,77
20230601,Mumbai,28.0,79
20230701,Mumbai,25.6,90
20230801,Mumbai,27.3,89
20230901,Mumbai,27.7,79
20231001,Mumbai,29.7,67
20231101,Mumbai,27.0,64
20231201,Mumbai,26.1,56
20240101,Mumbai,24.5,53
20240201,Mumbai,24.6,59
20240301,Mumbai,27.5,63
20240401,Mumbai,29.9,64
20240501,Mumbai,31.8,68
20240601,Mumbai,29.2,85
20240701,Mumbai,28.0,86
20240801,Mumbai,26.6,87
20240901,Mumbai,28.1,84
20241001,Mumbai,29.2,70
20241101,Mumbai,28.8,66
20241201,Mumbai,24.9,54
20250101,Mumbai,24.6,55
20250201,Mumbai,26.1,56
20250301,Mumbai,27.2,64
20250401,Mumbai,27.8,66
20250501,Mumbai,32.9,72
20250601,Mumbai,29.3,82
20250701,Mumbai,27.0,89
